Offense Case Type,Offense Date,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
NT,2020-12-20,1:40:00,325 East 6th Street,,TERM,APD Do Not Use,7849,White,Female
NT,2020-12-20,1:40:00,325 East 6th Street,,TERM,APD Do Not Use,7849,White,Male
NT,2020-12-20,1:40:00,325 East 6th Street,,TERM,APD Do Not Use,6451,White,Female
NT,2020-12-20,1:40:00,325 East 6th Street,,TERM,APD Do Not Use,7849,White,Female
NT,2020-12-20,2:10:00,500 Blocktrinity Street,,TERM,APD Do Not Use,7945,Hispanic or Latino,Female
TR,2020-12-21,0:05:00,NECHES ST,,TERM,Other Agency,8140,Hispanic or Latino,Female
NT,2020-12-21,2:03:00,E 6TH ST,,TERM,Other Agency,8140,Hispanic or Latino,Female
NT,2020-12-21,19:16:00,E 6TH ST,,ACT,Other Agency,7245,Black or African American,Male
NT,2020-12-22,0:10:00,400 Block East 6th Street,,TERM,APD Do Not Use,8674,Hispanic or Latino,Male
NT,2020-12-26,0:00:00,East 6th Street And,San Jacinto Boulevard,ACT,APD Do Not Use,8201,Black or African American,Female
NT,2020-12-26,0:05:00,East 6th Street And,San Jacinto Avenut,TERM,APD Do Not Use,7872,White,Female
NT,2020-12-26,0:23:00,400 Block East 6th Street,,ACT,APD Do Not Use,8140,Hispanic or Latino,Female
NT,2020-12-26,0:23:00,400 Block East 6th Street,,ACT,APD Do Not Use,8140,Hispanic or Latino,Male
NT,2020-12-26,0:23:00,400 Block East 6th Street,,ACT,APD Do Not Use,8140,Hispanic or Latino,Female
NT,2020-12-26,12:00:00,East 6th Street And,San Jacinto Avenue,TERM,APD Do Not Use,8740,White,Male
NT,2020-12-27,18:25:00,200 Block East 6th Street,,TERM,APD Do Not Use,7804,Hispanic or Latino,Male
NT,2020-12-30,6:50:00,600 Block Waller Creek,,IN,APD Do Not Use,3968,Black or African American,Female
NT,2020-12-30,6:50:00,600 Block Waller Creek,,ACT,APD Do Not Use,3968,Black or African American,Female
NT,2020-12-30,8:40:00,700 Block North Ih 35,,ACT,APD Do Not Use,3968,White,Male
NT,2020-12-30,9:50:00,600 Block Trinity Street,,ACT,APD Do Not Use,3968,Black or African American,Male
NT,2020-12-31,22:57:00,West 5th Street And,Nueces Street,TERM,APD Do Not Use,7837,White,Male
NT,2020-12-31,23:52:00,600 Block San Jacinto Boulevard,,TERM,APD Do Not Use,8139,White,Male
NT,2020-12-31,23:52:00,600 Block San Jacinto Boulevard,,TERM,APD Do Not Use,8139,White,Male
NT,2021-01-01,0:01:00,East 6th Street,Neches Street,ACT,APD Do Not Use,8190,Black or African American,Male
NT,2021-01-01,0:01:00,East 6th Street And,Neches Street,ACT,APD Do Not Use,8201,Hispanic or Latino,Male
NT,2021-01-01,2:06:00,600 Block Trinity Street,,TERM,APD Do Not Use,8888,Hispanic or Latino,Male
NT,2021-01-02,0:00:00,111 East Cesar Chavez Street,,ACT,APD Do Not Use,5617,Black or African American,Male
NT,2021-01-02,4:39:00,607 Trinity Street,,ACT,APD Do Not Use,8422,Black or African American,Female
NT,2021-01-02,12:10:00,1000 Block North Ih 35,,ACT,APD Do Not Use,7950,White,Female
NT,2021-01-03,2:22:00,TRINITY ST,E 6TH ST,ACT,Other Agency,7597,White,Female
NT,2021-01-03,2:39:00,400 Block East 6th Street,,ACT,APD Do Not Use,8400,Black or African American,Male
NT,2021-01-06,0:44:00,408 East 6th Street,,TERM,APD Do Not Use,8674,Black or African American,Male
NT,2021-01-06,2:33:00,400 Block East 6th Street,,TERM,APD Do Not Use,8674,Black or African American,Male
NT,2021-01-06,10:50:00,East 6th Street And Congress Avenue,,ACT,APD Do Not Use,7796,White,Male
TR,2021-01-08,2:21:00,TRINIYY ST,,ACT,Other Agency,8140,Hispanic or Latino,Male
NT,2021-01-08,2:27:00,TRINITY ST,,ACT,Other Agency,8140,White,Male
NT,2021-01-09,18:30:00,520 West 6th Street,,ACT,APD Do Not Use,7764,Black or African American,Male
NT,2021-01-10,1:49:00,6TH STREET AND NECHES STREET,,TERM,APD Do Not Use,8558,White,Male
NT,2021-01-10,23:09:00,710 West Cesar Chavez Street,,ACT,APD Do Not Use,8139,White,Male
NT,2021-01-11,7:40:00,200 Block East 6th Street,,ACT,APD Do Not Use,3968,Black or African American,Male
NT,2021-01-11,9:15:00,700 Block Trinity Street,,ACT,APD Do Not Use,3968,,
NT,2021-01-11,11:30:00,600 Block Sabine Street,,ACT,APD Do Not Use,3968,Black or African American,Male
NT,2021-01-11,12:40:00,700 Block East 6th Street,,ACT,APD Do Not Use,3968,White,Male
NT,2021-01-14,0:00:00,6th Street And Neches Street,,ACT,APD Do Not Use,7433,White,Male
NT,2021-01-14,15:13:00,500 Block Brazos Street,,ACT,APD Do Not Use,6136,Hispanic or Latino,Male
TR,2021-01-14,15:15:00,15th Street,Red River Street,ACT,APD Do Not Use,8432,White,Male
NT,2021-01-14,15:50:00,100 Block East 6th Street,,TERM,APD Do Not Use,6136,White,Male
NT,2021-01-14,21:08:00,Red River Streetand,15th Street,TERM,APD Do Not Use,7615,White,Male
NT,2021-01-14,21:24:00,200 Block East 6th Street,,ACT,APD Do Not Use,7824,White,Male
NT,2021-01-15,3:00:00,607 Trinity Street,,TERM,APD Do Not Use,8674,,Female
NT,2021-01-15,3:01:00,TRINITY ST,,IN,Other Agency,8422,Hispanic or Latino,Female
NT,2021-01-17,1:20:00,411 East 6th Street,,ACT,APD Do Not Use,8140,Black or African American,Male
NT,2021-01-17,23:20:00,418 East 6th Street,,TERM,APD Do Not Use,8190,Hispanic or Latino,Male
NT,2021-01-18,0:00:00,East 6th Street And,Brazos Street,TERM,APD Do Not Use,8380,White,Female
NT,2021-01-18,10:50:00,700 Block Red River Street,,ACT,APD Do Not Use,3968,Black or African American,Male
NT,2021-01-18,11:30:00,200 BLOCK EAST 6TH STREET,,ACT,APD Do Not Use,3968,White,Male
NT,2021-01-18,21:50:00,7th Street And,North Ih 35 Service Road,ACT,APD Do Not Use,8389,Black or African American,Male
TR,2021-01-18,23:28:00,SABINE AT,,IN,Other Agency,8140,Black or African American,Male
NT,2021-01-21,23:42:00,E 6TH ST,,TERM,Other Agency,8205,White,Female
NT,2021-01-22,23:16:00,408 East 6th Street,,TERM,APD Do Not Use,8674,Hispanic or Latino,Male
NT,2021-01-24,0:14:00,E 6TH ST,,TERM,Other Agency,8354,White,Female
NT,2021-01-25,3:46:00,311 Bowie Street,,TERM,APD Do Not Use,8289,Hispanic or Latino,Female
NT,2021-01-25,7:20:00,200 Block East 6th Street,,ACT,APD Do Not Use,3968,White,Male
TR,2021-01-25,8:50:00,6th Street And Trinity Street,,ACT,APD Do Not Use,3968,White,Male
NT,2021-01-25,9:15:00,1000 Block Waller Creek,,ACT,APD Do Not Use,3968,Hispanic or Latino,Male
NT,2021-01-25,9:15:00,1000 Block Waller Creek,,ACT,APD Do Not Use,3968,Hispanic or Latino,Male
NT,2021-01-25,9:50:00,300 Block East 6th Street,,IN,APD Do Not Use,3968,Black or African American,Male
NT,2021-01-25,13:00:00,700 Block Neches Street,,ACT,APD Do Not Use,3968,White,Male
NT,2021-01-25,23:55:00,400 Block East 7th Street,,ACT,APD Do Not Use,3968,White,Male
TR,2021-01-26,17:20:00,North Ih 35,East 7th Street,ACT,APD Do Not Use,7796,White,Female
